month,region,range,volatility_index
2017-10,Middle Volga,894.87,0.68590001407686
2018-12,Middle Volga,867.92,0.682515737448377
2019-01,Middle Volga,850.19,0.679442639966371
2018-04,Urals,707.11,0.678817436088969
2018-07,Urals,675.28,0.674654774569197
2018-11,Urals,726.18,0.669836893022386
2017-09,Middle Volga,909.44,0.665846902216549
2018-10,Siberia,603.45,0.664262902681647
2017-12,Middle Volga,773.56,0.663515874395121
2019-02,Center,889.63,0.661447794989467
2018-08,Urals,687.54,0.659011269287374
2019-09,Center,890.15,0.6551005784655
2017-02,South,1049.2,0.64898047333514
2017-01,South,1031.49,0.646286874382702
2017-11,Urals,642.27,0.643399138680086
2017-01,Middle Volga,735.12,0.637426743553768
2019-09,Middle Volga,831.9,0.635503087767848
2018-02,Urals,643.58,0.63263109506007
2017-02,Northwest,677.75,0.629098603341098
2017-03,South,918.76,0.626072886327256
2019-03,South,963.04,0.624766855283302
2019-04,Northwest,908.92,0.624441365240495
2018-09,Center,911.06,0.622187337306905
2017-03,Middle Volga,733.82,0.621082244542819
2019-03,Center,867.68,0.618422056106399
2019-02,Middle Volga,769.52,0.616069023422712
2019-04,Center,907.17,0.612685549724264
2017-10,Urals,668.31,0.608571888179297
2018-03,Urals,609.31,0.606813590096195
2018-01,Urals,615.21,0.600642844820733
2018-09,Middle Volga,850.73,0.597955832112969
2019-02,Urals,662.18,0.592805972456931
2017-09,Urals,669.58,0.590467543003576
2017-02,Center,709.33,0.590023294834976
2017-04,Urals,595.24,0.579213234167608
2018-09,Siberia,528.06,0.578532985384633
2018-09,Urals,640.16,0.572742838247919
2019-06,Urals,654.02,0.571947788137186
2019-09,Urals,659.4,0.569351040835697
2017-02,Middle Volga,669.8,0.56732310254494
2019-03,Middle Volga,751.21,0.562402828576089
2019-07,Urals,611.83,0.561732450146103
2019-05,Urals,652.45,0.561129091290305
2017-01,Urals,576.13,0.551340734960507
2017-10,Siberia,478.88,0.547892140544139
2019-04,Middle Volga,748.6,0.54739086435773
2018-12,Urals,590.01,0.540391013839751
2017-04,Siberia,473.09,0.532157535158273
2018-04,Siberia,484.15,0.527714727035838
2019-01,Urals,578.07,0.527543603749037
2018-10,Urals,573.51,0.518724790603061
2019-03,Urals,600.21,0.509220322568521
2017-03,Urals,471.59,0.458861592642237
2018-12,Siberia,448.39,0.453481087099682
2017-02,Urals,470.07,0.452774031978424
2019-04,Urals,500.55,0.438172526000491
2018-11,Siberia,398.09,0.414685902608172
2019-02,Siberia,397.05,0.390689459325555
2017-11,Siberia,334.92,0.381712545137961
2019-05,Siberia,384.11,0.365641684255208
2018-03,Siberia,334.98,0.361718267838471
2017-01,Siberia,340.68,0.351113352135777
2018-01,Siberia,314.98,0.345279872808239
2017-02,Siberia,317.1,0.340111656037566
2017-12,Siberia,303.06,0.33645551132502
2018-02,Siberia,293.34,0.311982490507279
2019-04,Siberia,321.96,0.308055884803722
2017-03,Siberia,265.69,0.305439771791371
2019-06,Siberia,307.48,0.301768313770914
2019-01,Siberia,282.26,0.273563746767997
2019-03,Siberia,263.48,0.258312571579673
